TotalEvent,date,productSKU,eventAction
530,20210522,211902540,productDetail
102,20210522,211902540,addToCart
141,20210523,211902540,addToCart
571,20210523,211902540,productDetail
107,20210524,211902540,addToCart
576,20210524,211902540,productDetail
77,20210525,211902540,addToCart
479,20210525,211902540,productDetail
75,20210526,211902540,addToCart
442,20210526,211902540,productDetail
77,20210527,211902540,addToCart
473,20210527,211902540,productDetail
473,20210528,211902540,productDetail
82,20210528,211902540,addToCart
444,20210529,211902540,productDetail
62,20210529,211902540,addToCart
91,20210530,211902540,addToCart
504,20210530,211902540,productDetail
946,20210531,211902540,productDetail
199,20210531,211902540,addToCart
158,20210601,211902540,addToCart
738,20210601,211902540,productDetail
730,20210602,211902540,productDetail
184,20210602,211902540,addToCart
854,20210603,211902540,productDetail
309,20210603,211902540,addToCart
314,20210604,211902540,addToCart
806,20210604,211902540,productDetail
797,20210605,211902540,productDetail
230,20210605,211902540,addToCart
776,20210606,211902540,productDetail
218,20210606,211902540,addToCart
647,20210607,211902540,productDetail
205,20210607,211902540,addToCart
583,20210608,211902540,productDetail
127,20210608,211902540,addToCart
532,20210609,211902540,productDetail
126,20210609,211902540,addToCart
506,20210610,211902540,productDetail
155,20210610,211902540,addToCart
130,20210611,211902540,addToCart
450,20210611,211902540,productDetail
449,20210612,211902540,productDetail
101,20210612,211902540,addToCart
534,20210613,211902540,productDetail
111,20210613,211902540,addToCart
86,20210614,211902540,addToCart
525,20210614,211902540,productDetail
61,20210615,211902540,addToCart
485,20210615,211902540,productDetail
52,20210616,211902540,addToCart
414,20210616,211902540,productDetail
458,20210617,211902540,productDetail
47,20210617,211902540,addToCart
43,20210618,211902540,addToCart
390,20210618,211902540,productDetail
68,20210619,211902540,addToCart
416,20210619,211902540,productDetail
48,20210620,211902540,addToCart
412,20210620,211902540,productDetail
531,20210621,211902540,productDetail
69,20210621,211902540,addToCart
74,20210622,211902540,addToCart
444,20210622,211902540,productDetail
405,20210623,211902540,productDetail
56,20210623,211902540,addToCart
66,20210624,211902540,addToCart
373,20210624,211902540,productDetail
57,20210625,211902540,addToCart
360,20210625,211902540,productDetail
59,20210626,211902540,addToCart
383,20210626,211902540,productDetail
61,20210627,211902540,addToCart
424,20210627,211902540,productDetail
55,20210628,211902540,addToCart
408,20210628,211902540,productDetail
45,20210629,211902540,addToCart
416,20210629,211902540,productDetail
47,20210630,211902540,addToCart
384,20210630,211902540,productDetail
43,20210701,211902540,addToCart
298,20210701,211902540,productDetail
73,20210702,211902540,addToCart
375,20210702,211902540,productDetail
65,20210703,211902540,addToCart
300,20210703,211902540,productDetail
417,20210704,211902540,productDetail
103,20210704,211902540,addToCart
88,20210705,211902540,addToCart
418,20210705,211902540,productDetail
109,20210706,211902540,addToCart
466,20210706,211902540,productDetail
401,20210707,211902540,productDetail
72,20210707,211902540,addToCart
65,20210708,211902540,addToCart
336,20210708,211902540,productDetail
89,20210709,211902540,addToCart
364,20210709,211902540,productDetail
85,20210710,211902540,addToCart
332,20210710,211902540,productDetail
89,20210711,211902540,addToCart
375,20210711,211902540,productDetail
87,20210712,211902540,addToCart
393,20210712,211902540,productDetail
394,20210713,211902540,productDetail
87,20210713,211902540,addToCart
77,20210714,211902540,addToCart
447,20210714,211902540,productDetail
355,20210715,211902540,productDetail
89,20210715,211902540,addToCart
82,20210716,211902540,addToCart
336,20210716,211902540,productDetail
392,20210717,211902540,productDetail
99,20210717,211902540,addToCart
363,20210718,211902540,productDetail
93,20210718,211902540,addToCart
405,20210719,211902540,productDetail
103,20210719,211902540,addToCart
84,20210720,211902540,addToCart
376,20210720,211902540,productDetail
92,20210721,211902540,addToCart
362,20210721,211902540,productDetail
95,20210722,211902540,addToCart
375,20210722,211902540,productDetail
108,20210723,211902540,addToCart
325,20210723,211902540,productDetail
82,20210724,211902540,addToCart
359,20210724,211902540,productDetail
103,20210725,211902540,addToCart
440,20210725,211902540,productDetail
133,20210726,211902540,addToCart
577,20210726,211902540,productDetail
114,20210727,211902540,addToCart
599,20210727,211902540,productDetail
98,20210728,211902540,addToCart
542,20210728,211902540,productDetail
962,20210729,211902540,productDetail
259,20210729,211902540,addToCart
571,20210730,211902540,productDetail
122,20210730,211902540,addToCart
62,20210731,211902540,addToCart
412,20210731,211902540,productDetail
533,20210801,211902540,productDetail
68,20210801,211902540,addToCart
505,20210802,211902540,productDetail
74,20210802,211902540,addToCart
531,20210803,211902540,productDetail
66,20210803,211902540,addToCart
561,20210804,211902540,productDetail
92,20210804,211902540,addToCart
77,20210805,211902540,addToCart
573,20210805,211902540,productDetail
68,20210806,211902540,addToCart
524,20210806,211902540,productDetail
45,20210807,211902540,addToCart
575,20210807,211902540,productDetail
594,20210808,211902540,productDetail
71,20210808,211902540,addToCart
66,20210809,211902540,addToCart
679,20210809,211902540,productDetail
648,20210810,211902540,productDetail
76,20210810,211902540,addToCart
696,20210811,211902540,productDetail
77,20210811,211902540,addToCart
633,20210812,211902540,productDetail
69,20210812,211902540,addToCart
807,20210813,211902540,productDetail
91,20210813,211902540,addToCart
689,20210814,211902540,productDetail
83,20210814,211902540,addToCart
798,20210815,211902540,productDetail
82,20210815,211902540,addToCart
780,20210816,211902540,productDetail
198,20210816,211902540,addToCart
120,20210817,211902540,addToCart
641,20210817,211902540,productDetail
830,20210818,211902540,productDetail
96,20210818,211902540,addToCart
82,20210819,211902540,addToCart
690,20210819,211902540,productDetail
584,20210820,211902540,productDetail
70,20210820,211902540,addToCart
548,20210821,211902540,productDetail
69,20210821,211902540,addToCart
68,20210822,211902540,addToCart
627,20210822,211902540,productDetail
78,20210823,211902540,addToCart
741,20210823,211902540,productDetail
717,20210824,211902540,productDetail
101,20210824,211902540,addToCart
114,20210825,211902540,addToCart
730,20210825,211902540,productDetail
137,20210826,211902540,addToCart
833,20210826,211902540,productDetail
73,20210827,211902540,addToCart
764,20210827,211902540,productDetail
622,20210828,211902540,productDetail
73,20210828,211902540,addToCart
97,20210829,211902540,addToCart
742,20210829,211902540,productDetail
74,20210830,211902540,addToCart
747,20210830,211902540,productDetail
759,20210831,211902540,productDetail
84,20210831,211902540,addToCart
791,20210901,211902540,productDetail
100,20210901,211902540,addToCart
730,20210902,211902540,productDetail
75,20210902,211902540,addToCart
71,20210903,211902540,addToCart
642,20210903,211902540,productDetail
88,20210904,211902540,addToCart
692,20210904,211902540,productDetail
63,20210905,211902540,addToCart
632,20210905,211902540,productDetail
701,20210906,211902540,productDetail
73,20210906,211902540,addToCart
601,20210907,211902540,productDetail
71,20210907,211902540,addToCart
80,20210908,211902540,addToCart
787,20210908,211902540,productDetail
65,20210909,211902540,addToCart
616,20210909,211902540,productDetail
614,20210910,211902540,productDetail
67,20210910,211902540,addToCart
77,20210911,211902540,addToCart
642,20210911,211902540,productDetail
710,20210912,211902540,productDetail
68,20210912,211902540,addToCart
88,20210913,211902540,addToCart
729,20210913,211902540,productDetail
726,20210914,211902540,productDetail
91,20210914,211902540,addToCart
650,20210915,211902540,productDetail
80,20210915,211902540,addToCart
631,20210916,211902540,productDetail
72,20210916,211902540,addToCart
74,20210917,211902540,addToCart
668,20210917,211902540,productDetail
616,20210918,211902540,productDetail
53,20210918,211902540,addToCart
683,20210919,211902540,productDetail
